date_disclosed,project_name,document_type,project_number,project_url,product_line,company_name,country,ifc_country_code,industry,environmental_category,department,status,projected_board_date,ifc_approval_date,ifc_signed_date,ifc_invested_date,ifc_investment_for_risk_managementmillion__usd,ifc_investment_for_guaranteemillion__usd,ifc_investment_for_loanmillion__usd,ifc_investment_for_equitymillion__usd,total_ifc_investment_as_approved_by_boardmillion__usd,wb_country_code,as_of_date
2010-04-16,Project Name Pending,Summary of Proposed Investment (Disclosure Policy 2006),29400,https://disclosures.ifc.org/project-detail/SPI/29400/project-name-pending,Equity,Company Name Pending,Latin America and the Caribbean Region,,Infrastructure,FI,"Disruptive Tech, Service & Funds",Completed,2010-06-30,2010-07-30,2011-06-17,2012-02-09,,,,20.000000,20.000000,,2024-09-15
2010-05-19,Energy Dev II,Summary of Proposed Investment (Disclosure Policy 2006),29404,https://disclosures.ifc.org/project-detail/SPI/29404/energy-dev-ii,Loan,ENERGY DEVELOPMENT CORPORATION,Philippines,PHL,Infrastructure,B,Gbl Infrastructure & Natural Resources,Active,2010-06-24,2010-12-27,2011-05-20,2011-09-30,,,75.000000,,75.000000,PH,2024-09-15
2010-10-01,Cheves Hydro,Summary of Proposed Investment (Disclosure Policy 2006),29405,https://disclosures.ifc.org/project-detail/SPI/29405/cheves-hydro,Loan,STATKRAFT PERU SA,Peru,PER,Infrastructure,A,Regional Industry INF LAC & EUR,Completed,2010-12-02,2010-12-07,2010-12-15,2012-03-05,,,85.000000,,85.000000,PE,2024-09-15
2010-03-30,IFC RBC Venture,Summary of Proposed Investment (Disclosure Policy 2006),29415,https://disclosures.ifc.org/project-detail/SPI/29415/ifc-rbc-venture,Equity,IFC RUSSIAN BANK CAPITALIZATION FUND LP,Russian Federation,RUS,Infrastructure,FI,"Disruptive Tech, Service & Funds",Completed,2010-04-29,2012-05-13,2012-06-12,2012-09-26,,,,250.000000,250.000000,RU,2024-09-15
2011-05-31,Gulf Power Ltd,Summary of Proposed Investment (Disclosure Policy 2006),29418,https://disclosures.ifc.org/project-detail/SPI/29418/gulf-power-ltd,Loan,GULF POWER LIMITED,Kenya,KEN,Infrastructure,A,Gbl Infrastructure &amp; Natural Resources,Completed,2011-10-12,2012-10-31,2012-11-08,2013-12-06,,,27.820000,,27.820000,KE,2024-09-15
2010-03-16,8 Miles Fund I 'A' LP,Summary of Proposed Investment (Disclosure Policy 2006),29449,https://disclosures.ifc.org/project-detail/SPI/29449/8-miles-fund-i-'a'-lp,Equity,Eight Africa Fund I (Mauritius) Limited,Africa Region,AFR,Infrastructure,FI,"Disruptive Tech, Service & Funds",Active,2010-04-15,2010-05-06,2011-12-23,2012-05-10,,,,50.000000,50.000000,3A,2024-09-15
2010-04-09,TCE Ege Konteyner Terminal Isletmeleri A.S.,Summary of Proposed Investment (Disclosure Policy 2006),29472,https://disclosures.ifc.org/project-detail/SPI/29472/tce-ege-konteyner-terminal-isletmeleri-a.s.,Loan,TCE EGE KONTEYNER TERMINAL ISLETMELERI ANONIM SIRKETI,Turkiye,,Infrastructure,B,Regional Industry INF MCT,Completed,2010-05-21,2010-05-21,2010-06-25,2011-01-14,,,20.000000,,20.000000,TR,2024-09-15
2010-06-18,Chisinau City,Summary of Proposed Investment (Disclosure Policy 2006),29484,https://disclosures.ifc.org/project-detail/SPI/29484/chisinau-city,Loan,THE CITY OF CHISINAU,Moldova,MDA,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2010-07-26,2010-10-15,2010-11-15,2011-09-23,,,10.000000,,10.000000,MD,2024-09-15
2010-04-21,Applied Solar,Summary of Proposed Investment (Disclosure Policy 2006),29501,https://disclosures.ifc.org/project-detail/SPI/29501/applied-solar,Loan,APPLIED SOLAR TECHNOLOGIES INDIA PRIVATE LIMITED,India,IND,Infrastructure,C,Gbl Infrastructure &amp; Natural Resources,Active,2010-05-23,2010-06-09,2010-06-23,2010-07-02,,,15.000000,6.000000,21.000000,IN,2024-09-15
2010-10-15,Brasil Terminal Portuario,Summary of Proposed Investment (Disclosure Policy 2006),29505,https://disclosures.ifc.org/project-detail/SPI/29505/brasil-terminal-portuario,Loan,BRASIL TERMINAL PORTUARIO S/A,Brazil,BRA,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2010-12-15,2011-03-07,2011-03-17,2011-08-25,,,140.000000,,140.000000,BR,2024-09-15
